City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
12,Rikitea,PF,295.57,overcast clouds,-23.1203,-134.9692,People ThankYou
23,Port Hardy,CA,295.25,fog,50.6996,-127.4199,Airport Inn-Port Hardy
24,Bar Harbor,US,295.34,broken clouds,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
26,Sao Filipe,CV,297.52,scattered clouds,14.8961,-24.4956,Hotel Xaguate
39,Lagoa,PT,295.63,clear sky,39.05,-27.9833,Casa Das Faias
44,Bemidji,US,295.58,overcast clouds,47.4736,-94.8803,Hampton Inn & Suites Bemidji
46,Jamestown,US,296.77,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
51,Puerto Ayora,EC,295.12,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
56,Laurel,US,296.48,moderate rain,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
62,Norman Wells,CA,296.17,few clouds,65.282,-126.8329,Heritage Hotel
66,Noumea,NC,296.14,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
67,Edea,CM,295.16,light rain,3.8,10.1333,Micotel Hotel
78,Karratha,AU,295.65,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
82,Ponta Do Sol,PT,295.38,clear sky,32.6667,-17.1,Hotel do Campo
99,Ribeira Grande,PT,296.45,few clouds,38.5167,-28.7,Quinta da Meia Eira
101,San Cristobal,VE,297.25,broken clouds,7.7669,-72.225,Pirineos
105,Touros,BR,297.82,light rain,-5.1989,-35.4608,INN NEW HORIZON
133,Mabaruma,GY,297.44,few clouds,8.2,-59.7833,Monty Brooms Guest House
135,Yongan,CN,297.81,clear sky,39.6957,113.6871,Beiyue International Hotel
145,Hobyo,SO,297.11,clear sky,5.3505,48.5268,Iftin hotel hobyo
146,Bolobo,CD,296.73,few clouds,-2.1667,16.2333,Hotel de Stephen
175,Sexsmith,CA,295.79,broken clouds,55.35,-118.786,Sexsmith Heritage Park
176,Harper,LR,297.09,overcast clouds,4.375,-7.7169,Screensaver
177,Damghan,IR,297.77,broken clouds,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
185,Quirinopolis,BR,296.59,clear sky,-18.4483,-50.4517,Rota Hotéis - Quirinópolis GO
