City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Loveland,US,2022-07-31 23:52:35,40.3978,-105.075,303.51,36,0,5.66,clear sky
1,Smithers,CA,2022-07-31 23:53:10,54.7804,-127.1743,300.33,44,20,2.57,few clouds
2,Shenjiamen,CN,2022-07-31 23:54:15,29.9576,122.298,301.82,81,100,3.63,overcast clouds
3,Busselton,AU,2022-07-31 23:50:39,-33.65,115.3333,286.99,94,90,12.69,light rain
4,Georgetown,MY,2022-07-31 23:48:00,5.4112,100.3354,300.31,87,40,4.12,thunderstorm
5,Vilcun,CL,2022-07-31 23:54:15,-38.65,-72.2333,280.56,97,96,0.54,overcast clouds
6,Hay River,CA,2022-07-31 23:54:16,60.8156,-115.7999,291.14,52,20,4.12,few clouds
7,Mirnyy,RU,2022-07-31 23:54:16,62.5353,113.9611,293.28,72,51,3.13,broken clouds
8,Ushuaia,AR,2022-07-31 23:50:40,-54.8,-68.3,276.96,93,40,3.6,scattered clouds
9,Mar Del Plata,AR,2022-07-31 23:48:44,-38.0023,-57.5575,286.16,90,0,4.47,clear sky
10,Sao Lourenco Do Sul,BR,2022-07-31 23:49:21,-31.3653,-51.9783,285.07,93,44,1.98,scattered clouds
11,Hami,CN,2022-07-31 23:54:17,42.8,93.45,301.91,27,56,2.52,broken clouds
12,Rikitea,PF,2022-07-31 23:50:41,-23.1203,-134.9692,295.57,74,100,10.35,overcast clouds
13,Faanui,PF,2022-07-31 23:54:17,-16.4833,-151.75,299.06,71,11,11.34,light rain
14,Yellowknife,CA,2022-07-31 23:48:13,62.456,-114.3525,291.44,45,40,3.09,scattered clouds
15,Port Alfred,ZA,2022-07-31 23:48:51,-33.5906,26.891,284.58,73,15,4.79,few clouds
16,Yaan,NG,2022-07-31 23:54:17,7.3833,8.5667,295.0,96,99,3.53,overcast clouds
17,Atar,MR,2022-07-31 23:56:03,20.5169,-13.0499,306.18,42,2,4.62,clear sky
18,Vaini,TO,2022-07-31 23:56:03,-21.2,-175.2,300.24,89,75,3.6,broken clouds
19,Bluff,NZ,2022-07-31 23:56:04,-46.6,168.3333,282.48,76,59,7.14,broken clouds
20,San Ramon,US,2022-07-31 23:56:04,37.7799,-121.978,301.27,62,74,2.68,broken clouds
21,Tera,NE,2022-07-31 23:56:04,14.0078,0.7531,299.61,60,100,7.19,overcast clouds
22,Pleshanovo,RU,2022-07-31 23:56:05,52.8333,53.4833,291.26,69,100,2.36,overcast clouds
23,Port Hardy,CA,2022-07-31 23:56:05,50.6996,-127.4199,295.25,68,75,5.14,fog
24,Bar Harbor,US,2022-07-31 23:56:05,44.3876,-68.2039,295.34,63,51,4.11,broken clouds
25,Henties Bay,NA,2022-07-31 23:56:06,-22.116,14.2845,285.18,75,73,2.18,broken clouds
26,Sao Filipe,CV,2022-07-31 23:56:06,14.8961,-24.4956,297.52,75,38,2.72,scattered clouds
27,Lebanon,US,2022-07-31 23:56:06,36.2081,-86.2911,302.18,83,75,3.6,broken clouds
28,Abha,SA,2022-07-31 23:56:07,18.2164,42.5053,293.05,82,0,0.0,clear sky
29,Dalvik,IS,2022-07-31 23:56:07,65.9702,-18.5286,284.11,98,100,3.35,overcast clouds
30,Northam,GB,2022-07-31 23:56:07,51.0333,-4.2167,288.37,95,18,1.46,few clouds
31,Basco,PH,2022-07-31 23:56:08,20.4487,121.9702,302.91,74,98,6.22,overcast clouds
32,Mayo,US,2022-07-31 23:56:08,38.8876,-76.5119,298.14,87,100,0.45,moderate rain
33,New Norfolk,AU,2022-07-31 23:56:08,-42.7826,147.0587,283.66,84,99,1.34,overcast clouds
34,Leh,IN,2022-07-31 23:47:40,34.1667,77.5833,288.18,58,45,2.43,scattered clouds
35,Lompoc,US,2022-07-31 23:56:09,34.6391,-120.4579,298.15,70,40,4.12,scattered clouds
36,Sembakung,ID,2022-07-31 23:56:09,3.8167,117.25,296.69,98,100,0.95,overcast clouds
37,La Reforma,MX,2022-07-31 23:56:09,25.0833,-108.05,304.2,59,75,4.49,broken clouds
38,Punta Arenas,CL,2022-07-31 23:58:08,-53.15,-70.9167,278.77,75,100,5.49,overcast clouds
39,Lagoa,PT,2022-07-31 23:58:08,39.05,-27.9833,295.63,74,0,3.04,clear sky
40,Bathsheba,BB,2022-07-31 23:58:08,13.2167,-59.5167,301.49,90,40,8.75,scattered clouds
41,Mayumba,GA,2022-07-31 23:58:09,-3.432,10.6554,294.2,96,29,2.81,scattered clouds
42,Awbari,LY,2022-07-31 23:58:09,26.5921,12.7805,301.94,17,1,5.2,clear sky
43,Bykov,RU,2022-07-31 23:58:09,47.3167,142.55,289.59,50,4,1.82,clear sky
44,Bemidji,US,2022-07-31 23:58:10,47.4736,-94.8803,295.58,89,100,5.66,overcast clouds
45,Mosquera,CO,2022-07-31 23:56:21,4.7059,-74.2302,289.2,63,75,2.57,broken clouds
46,Jamestown,US,2022-07-31 23:58:10,42.097,-79.2353,296.77,71,92,0.45,overcast clouds
47,Saint-Philippe,RE,2022-07-31 23:58:10,-21.3585,55.7679,292.16,79,61,6.43,broken clouds
48,Saskylakh,RU,2022-07-31 23:58:11,71.9167,114.0833,280.44,80,99,4.78,overcast clouds
49,Upernavik,GL,2022-07-31 23:58:11,72.7868,-56.1549,282.9,67,97,0.39,overcast clouds
50,Kaitangata,NZ,2022-07-31 23:58:10,-46.2817,169.8464,280.58,70,15,3.37,few clouds
51,Puerto Ayora,EC,2022-07-31 23:58:11,-0.7393,-90.3518,295.12,90,83,2.68,broken clouds
52,Codrington,AU,2022-07-31 23:58:12,-38.2667,141.9667,283.06,89,31,7.93,scattered clouds
53,Hobart,AU,2022-07-31 23:57:52,-42.8794,147.3294,283.85,73,75,9.26,broken clouds
54,Geraldton,AU,2022-07-31 23:58:12,-28.7667,114.6,293.38,52,100,11.32,overcast clouds
55,Esperance,AU,2022-07-31 23:58:13,-33.8667,121.9,282.95,57,5,7.68,clear sky
56,Laurel,US,2022-07-31 23:55:55,39.0993,-76.8483,296.48,94,100,0.45,moderate rain
57,Mataura,NZ,2022-07-31 23:58:13,-46.1927,168.8643,282.3,78,37,3.34,scattered clouds
58,Mahon,ES,2022-07-31 23:58:13,39.8885,4.2658,298.46,53,0,3.09,clear sky
